vehicle_id,accident_id,vehicle_type,driver_age,is_speeding,is_drunk
209,105,Bus,42,Yes,Yes
210,105,Car,58,No,No
211,106,Auto,53,Yes,No
212,106,Auto,55,No,No
213,107,Bike,25,Yes,No
214,107,SUV,64,Yes,Yes
215,108,Car,43,No,Yes
216,108,Truck,33,No,Yes
217,109,Car,67,Yes,Yes
218,109,Car,56,Yes,Yes
219,110,Truck,23,No,No
220,110,SUV,63,No,Yes
221,111,Auto,60,No,No
222,111,Car,29,No,Yes
223,112,SUV,54,Yes,No
224,112,Auto,36,Yes,Yes
225,113,Car,39,Yes,Yes
226,113,SUV,61,Yes,No
227,114,Bus,63,Yes,No
228,114,Truck,48,Yes,No
229,115,Bike,21,No,No
230,115,Truck,43,Yes,Yes
231,116,Bike,33,No,No
232,116,SUV,65,No,Yes
233,117,Bus,65,Yes,No
234,117,Car,68,No,Yes
235,118,SUV,25,Yes,Yes
236,118,Bike,60,Yes,Yes
237,119,Bike,49,No,Yes
238,119,Car,58,No,No
239,120,Car,35,No,Yes
240,120,Bike,68,Yes,Yes
241,121,Bike,25,No,Yes
242,121,Bike,68,Yes,No
243,122,Bike,68,No,No
244,122,SUV,34,Yes,Yes
245,123,Truck,52,No,No
246,123,Bike,65,Yes,Yes
247,124,SUV,18,No,Yes
248,124,SUV,25,Yes,Yes
249,125,SUV,64,Yes,No
250,125,Bike,57,Yes,No
251,126,Auto,35,Yes,Yes
252,126,Truck,30,No,Yes
253,127,SUV,25,Yes,No
254,127,Bus,63,Yes,Yes
255,128,Auto,20,No,Yes
256,128,SUV,31,No,No
257,129,Truck,68,No,No
258,129,Bus,34,Yes,Yes
259,130,SUV,27,No,Yes
260,130,Truck,23,Yes,No
261,131,SUV,22,Yes,Yes
262,131,SUV,64,Yes,Yes
263,132,Car,66,No,Yes
264,132,Auto,62,No,No
265,133,Truck,38,Yes,No
266,133,Car,22,Yes,Yes
267,134,Car,53,No,Yes
268,134,SUV,50,Yes,Yes
269,135,Auto,57,No,Yes
270,135,Car,62,No,Yes
271,136,Car,32,Yes,Yes
272,136,Bus,33,Yes,Yes
273,137,Truck,54,No,No
274,137,Bus,42,Yes,No
275,138,Bike,50,Yes,No
276,138,Auto,62,Yes,No
277,139,Auto,28,No,No
278,139,Car,36,No,Yes
279,140,Car,42,No,No
280,140,Auto,20,No,Yes
281,141,SUV,61,Yes,Yes
282,141,Car,30,No,No
283,142,Truck,60,No,No
284,142,Truck,21,Yes,Yes
285,143,Auto,62,Yes,Yes
286,143,Bus,21,No,Yes
287,144,Bike,33,Yes,No
288,144,SUV,18,No,Yes
289,145,SUV,35,No,No
290,145,Bus,18,Yes,Yes
291,146,Auto,34,No,Yes
292,146,Truck,46,Yes,No
293,147,SUV,56,No,No
294,147,Truck,55,Yes,No
295,148,Truck,56,No,No
296,148,Bike,67,Yes,No
297,149,Truck,38,No,No
298,149,Car,54,No,No
299,150,Bus,65,Yes,No
300,150,Bus,44,No,Yes
301,151,Truck,30,Yes,No
302,151,Bike,56,Yes,No
303,152,Truck,51,No,Yes
304,152,Bus,58,No,No
305,153,SUV,67,No,No
306,153,Bike,48,Yes,Yes
307,154,Car,46,Yes,No
308,154,Bus,32,No,Yes
309,155,Bike,51,No,Yes
310,155,Bike,34,No,No
311,156,SUV,37,Yes,No
312,156,Auto,64,No,Yes
313,157,Truck,65,No,Yes
314,157,Car,31,Yes,Yes
315,158,Auto,58,Yes,No
316,158,Bus,40,Yes,Yes
317,159,Bus,27,No,Yes
318,159,Bike,42,No,No
319,160,Car,56,No,No
320,160,Truck,70,No,No
321,161,Bus,53,No,Yes
322,161,Auto,36,Yes,No
323,162,Bike,67,Yes,Yes
324,162,SUV,24,Yes,No
325,163,Bus,70,Yes,No
326,163,Car,42,Yes,Yes
327,164,SUV,34,Yes,No
328,164,Bike,61,No,Yes
329,165,Car,62,Yes,No
330,165,Car,67,Yes,Yes
331,166,Bike,54,Yes,No
332,166,Truck,40,Yes,Yes
333,167,Truck,54,Yes,No
334,167,Auto,27,Yes,Yes
335,168,Truck,60,No,No
336,168,Bike,25,Yes,No
337,169,Bike,62,No,Yes
338,169,Bus,34,No,No
339,170,Bike,43,No,No
340,170,Bike,51,No,Yes
341,171,Bus,56,No,Yes
342,171,Bike,58,No,Yes
343,172,Bike,62,No,No
344,172,Auto,57,No,Yes
345,173,Truck,18,Yes,Yes
346,173,Bus,33,Yes,Yes
347,174,Bus,66,Yes,No
348,174,Auto,31,No,Yes
349,175,Car,34,No,Yes
350,175,Truck,38,No,No
351,176,Bus,51,Yes,Yes
352,176,Auto,39,Yes,No
353,177,Bike,59,Yes,Yes
354,177,Car,57,No,Yes
355,178,Bus,34,No,No
356,178,Auto,20,No,Yes
357,179,Auto,38,No,No
358,179,SUV,41,No,No
359,180,SUV,48,No,No
360,180,Truck,20,Yes,No
361,181,Auto,28,No,No
362,181,Car,59,No,Yes
363,182,SUV,64,No,Yes
364,182,Bus,43,Yes,Yes
365,183,SUV,59,Yes,No
366,183,Auto,50,No,Yes
367,184,Bus,24,No,Yes
368,184,Car,53,Yes,No
369,185,SUV,60,No,No
370,185,Car,49,No,No
371,186,Auto,18,No,No
372,186,Bus,22,Yes,No
373,187,Auto,64,No,No
374,187,SUV,38,No,No
375,188,Bike,66,Yes,No
376,188,Bike,46,No,Yes
377,189,Bus,56,No,No
378,189,Bike,23,Yes,Yes
379,190,Auto,36,Yes,No
380,190,SUV,36,Yes,Yes
381,191,Bike,31,Yes,Yes
382,191,Bike,66,No,No
383,192,Car,53,Yes,Yes
384,192,Truck,47,Yes,No
385,193,SUV,28,Yes,No
386,193,Car,53,No,No
387,194,Bike,51,No,Yes
388,194,SUV,42,Yes,Yes
389,195,Car,60,No,Yes
390,195,Bus,35,Yes,No
391,196,Car,29,Yes,No
392,196,Bus,27,Yes,Yes
393,197,Bus,49,Yes,Yes
394,197,Bus,28,No,Yes
395,198,Bus,22,Yes,Yes
396,198,Auto,59,Yes,No
397,199,Car,38,Yes,Yes
398,199,Bus,26,Yes,Yes
399,200,Bus,49,Yes,No
400,200,Car,29,Yes,No
401,201,SUV,60,Yes,No
402,201,Auto,69,No,No
403,202,Bus,23,Yes,No
404,202,Truck,59,Yes,Yes
405,203,Auto,27,No,Yes
406,203,Auto,32,Yes,No
407,204,Car,38,No,No
408,204,Bus,18,No,Yes
409,205,Auto,37,No,No
410,205,Truck,58,No,No
411,206,Truck,28,No,Yes
412,206,SUV,61,Yes,Yes
413,207,Car,57,No,No
414,207,SUV,67,Yes,Yes
415,208,Truck,65,Yes,No
416,208,Car,22,Yes,No
417,209,Auto,26,No,No
418,209,Auto,59,No,No
419,210,Bus,36,Yes,No
420,210,Auto,55,Yes,No
421,211,Truck,62,No,No
422,211,Auto,57,No,No
423,212,Bike,18,No,No
424,212,SUV,57,Yes,Yes
425,213,SUV,29,Yes,Yes
426,213,Bus,48,Yes,Yes
427,214,SUV,70,No,Yes
428,214,Bus,49,No,Yes
429,215,Car,31,No,Yes
430,215,Bike,32,Yes,No
431,216,SUV,21,Yes,Yes
432,216,Bike,35,No,No
433,217,Car,36,Yes,No
434,217,SUV,33,Yes,Yes
435,218,SUV,61,No,No
436,218,Car,67,Yes,Yes
437,219,Car,48,Yes,No
438,219,Car,25,Yes,Yes
439,220,SUV,54,Yes,No
440,220,Auto,59,Yes,Yes
441,221,Bus,43,Yes,Yes
442,221,Bike,59,Yes,Yes
443,222,Bike,28,Yes,No
444,222,Bus,68,Yes,Yes
445,223,Bus,55,Yes,No
446,223,Auto,66,Yes,No
447,224,Truck,22,Yes,No
448,224,Auto,26,No,Yes
449,225,Truck,48,Yes,No
450,225,Car,70,Yes,Yes
451,226,SUV,18,No,No
452,226,Bike,63,Yes,No
453,227,SUV,30,No,No
454,227,Truck,67,Yes,No
455,228,SUV,32,No,Yes
456,228,Auto,33,Yes,No
457,229,Bus,60,No,No
458,229,Auto,22,No,No
459,230,Truck,31,Yes,Yes
460,230,Car,70,Yes,Yes
461,231,SUV,30,Yes,Yes
462,231,Bus,28,Yes,Yes
463,232,SUV,62,Yes,No
464,232,Truck,28,Yes,No
465,233,Auto,49,No,Yes
466,233,Bus,32,Yes,Yes
467,234,SUV,60,Yes,No
468,234,Truck,30,No,Yes
469,235,Truck,40,Yes,No
470,235,SUV,49,Yes,Yes
471,236,Auto,22,Yes,No
472,236,Bus,49,Yes,Yes
473,237,Car,49,Yes,Yes
474,237,SUV,49,Yes,Yes
475,238,Bike,63,Yes,Yes
476,238,Truck,57,Yes,No
477,239,Truck,60,No,No
478,239,Car,60,Yes,Yes
479,240,Bus,64,No,Yes
480,240,Bike,29,Yes,No
481,241,Truck,50,Yes,No
482,241,Bus,26,No,No
483,242,SUV,32,Yes,No
484,242,Bus,70,No,Yes
485,243,Truck,65,No,Yes
486,243,Car,64,Yes,No
487,244,SUV,53,No,No
488,244,Bike,50,No,Yes
489,245,Bus,62,No,Yes
490,245,Car,60,No,Yes
491,246,Auto,25,Yes,No
492,246,Bike,44,Yes,Yes
493,247,Bus,21,No,No
494,247,Bike,67,Yes,Yes
495,248,Auto,64,Yes,No
496,248,SUV,70,Yes,Yes
497,249,SUV,56,Yes,No
498,249,Bike,69,No,Yes
499,250,Bus,63,Yes,Yes
500,250,Car,30,Yes,Yes
501,251,SUV,44,Yes,Yes
502,251,Auto,40,Yes,No
503,252,Bus,68,No,Yes
504,252,Car,48,No,Yes
505,253,Bike,69,No,Yes
506,253,Truck,19,Yes,No
507,254,SUV,28,No,Yes
508,254,Truck,64,No,Yes
509,255,Auto,37,No,No
510,255,Truck,23,Yes,No
511,256,Bike,56,No,Yes
512,256,Bike,59,Yes,Yes
513,257,Bike,35,Yes,Yes
514,257,Car,25,Yes,No
515,258,Truck,43,No,Yes
516,258,Bike,46,Yes,No
517,259,SUV,63,No,Yes
518,259,SUV,20,No,No
519,260,Auto,64,No,Yes
520,260,Bus,64,Yes,Yes
521,261,Bike,41,Yes,Yes
522,261,Bus,47,No,Yes
523,262,Auto,18,Yes,Yes
524,262,SUV,63,No,No
525,263,Auto,40,No,Yes
526,263,Bus,35,Yes,No
527,264,Auto,53,No,Yes
528,264,Car,65,No,No
529,265,Bus,40,No,No
530,265,Car,30,No,No
531,266,Bike,37,Yes,No
532,266,SUV,66,Yes,No
533,267,Truck,22,No,Yes
534,267,Bike,68,Yes,Yes
535,268,Auto,41,No,Yes
536,268,SUV,48,No,Yes
537,269,SUV,58,No,No
538,269,SUV,63,No,No
539,270,Car,59,No,Yes
540,270,SUV,21,No,Yes
541,271,Auto,53,Yes,No
542,271,SUV,20,No,Yes
543,272,Bike,25,No,Yes
544,272,Truck,47,Yes,No
545,273,Bike,50,Yes,Yes
546,273,Bus,25,No,Yes
547,274,Truck,57,No,No
548,274,SUV,31,No,Yes
549,275,Truck,60,No,No
550,275,Car,64,No,Yes
551,276,Truck,53,Yes,Yes
552,276,Auto,66,No,Yes
553,277,SUV,27,No,No
554,277,Truck,42,Yes,Yes
555,278,Bus,54,No,Yes
556,278,Bus,48,Yes,No
557,279,SUV,44,Yes,Yes
558,279,SUV,46,No,No
559,280,Truck,70,No,Yes
560,280,Bus,45,Yes,Yes
561,281,Car,41,Yes,Yes
562,281,Truck,31,No,No
563,282,SUV,27,No,Yes
564,282,Auto,47,No,Yes
565,283,Car,24,Yes,Yes
566,283,Bike,24,Yes,Yes
567,284,SUV,57,No,No
568,284,Auto,61,No,No
569,285,Bike,32,Yes,Yes
570,285,Bus,24,Yes,Yes
571,286,Auto,48,No,No
572,286,Bike,68,No,No
573,287,Bus,26,Yes,No
574,287,Truck,67,No,No
575,288,Truck,43,No,Yes
576,288,Auto,57,No,No
577,289,Auto,65,Yes,No
578,289,Car,50,Yes,No
579,290,SUV,51,No,Yes
580,290,Bike,40,No,No
581,291,Car,58,Yes,Yes
582,291,Bus,38,Yes,Yes
583,292,Bike,63,No,Yes
584,292,Truck,29,Yes,Yes
585,293,Bike,64,No,Yes
586,293,SUV,58,Yes,Yes
587,294,Car,47,Yes,No
588,294,Truck,43,No,No
589,295,Bus,54,No,Yes
590,295,Bus,57,No,Yes
591,296,Auto,60,No,Yes
592,296,SUV,21,No,Yes
593,297,SUV,21,No,Yes
594,297,SUV,49,Yes,Yes
595,298,Bike,38,Yes,Yes
596,298,Auto,47,No,Yes
597,299,Bike,21,Yes,Yes
598,299,Car,64,No,No
599,300,Car,39,Yes,Yes
600,300,SUV,32,Yes,Yes
601,301,Auto,30,Yes,No
602,301,Car,26,Yes,Yes
603,302,Bus,57,Yes,No
604,302,Auto,53,No,Yes
605,303,Auto,21,No,Yes
606,303,Truck,26,Yes,No
607,304,Truck,43,No,Yes
608,304,Auto,43,No,No
609,305,Auto,63,No,Yes
610,305,Auto,41,No,Yes
611,306,SUV,38,Yes,No
612,306,Bike,21,Yes,Yes
613,307,Bike,55,No,No
614,307,Auto,29,Yes,No
615,308,SUV,42,No,Yes
616,308,Bus,50,Yes,Yes
617,309,Truck,22,No,Yes
618,309,Bus,30,No,No
619,310,SUV,53,Yes,No
620,310,SUV,62,Yes,Yes
621,311,SUV,66,Yes,No
622,311,Car,37,No,Yes
623,312,Bike,60,No,No
624,312,Auto,29,Yes,No
625,313,Auto,62,Yes,Yes
626,313,Bike,52,Yes,No
627,314,Truck,41,No,Yes
628,314,Car,43,Yes,No
629,315,Bike,68,No,No
630,315,Bus,38,Yes,No
631,316,Car,40,No,Yes
632,316,Auto,38,Yes,Yes
633,317,Truck,64,No,No
634,317,Auto,47,Yes,Yes
635,318,Bus,54,Yes,No
636,318,Bus,30,Yes,Yes
637,319,Auto,37,No,No
638,319,Auto,40,No,No
639,320,Auto,69,Yes,Yes
640,320,Bike,52,Yes,Yes
641,321,Truck,56,No,Yes
642,321,Bus,47,Yes,No
643,322,Bus,21,No,Yes
644,322,SUV,65,No,No
645,323,Bus,26,Yes,No
646,323,Truck,21,Yes,Yes
647,324,Car,46,No,No
648,324,Truck,68,Yes,Yes
649,325,Bus,40,No,Yes
650,325,Bike,69,Yes,Yes
651,326,Car,43,No,Yes
652,326,Bike,59,No,No
653,327,Car,24,Yes,No
654,327,Auto,46,Yes,No
655,328,Auto,52,Yes,No
656,328,Truck,69,No,Yes
657,329,Car,61,Yes,Yes
658,329,Truck,22,No,No
659,330,Bus,56,No,No
660,330,Truck,48,Yes,No
661,331,Bike,24,Yes,Yes
662,331,Bus,19,No,Yes
663,332,SUV,57,No,No
664,332,Car,35,No,Yes
665,333,Truck,27,Yes,No
666,333,SUV,52,Yes,No
667,334,Truck,37,No,No
668,334,Bike,19,No,No
669,335,Bike,64,Yes,Yes
670,335,Bus,35,No,Yes
671,336,Auto,37,Yes,No
672,336,Bus,26,Yes,No
673,337,Bus,67,No,Yes
674,337,Auto,62,No,Yes
675,338,Truck,35,No,No
676,338,Car,47,Yes,No
677,339,SUV,30,No,No
678,339,Bike,61,Yes,No
679,340,Auto,18,Yes,Yes
680,340,Auto,37,Yes,No
681,341,Auto,19,Yes,Yes
682,341,Bike,62,Yes,Yes
683,342,Car,54,No,No
684,342,Car,26,Yes,Yes
685,343,SUV,22,No,No
686,343,Truck,69,No,No
687,344,Truck,18,No,Yes
688,344,Bus,59,No,Yes
689,345,Car,44,Yes,No
690,345,Bus,52,Yes,Yes
691,346,Bus,22,Yes,No
692,346,Car,50,Yes,No
693,347,SUV,55,Yes,Yes
694,347,Bus,66,Yes,No
695,348,Bike,39,Yes,No
696,348,Bus,53,Yes,Yes
697,349,Truck,64,No,Yes
698,349,Bus,22,Yes,No
699,350,Car,68,Yes,Yes
700,350,Bus,19,Yes,Yes
701,351,Car,27,Yes,Yes
702,351,Car,54,Yes,No
703,352,Truck,47,Yes,No
704,352,Bus,38,No,No
705,353,Auto,42,Yes,Yes
706,353,SUV,45,Yes,No
707,354,SUV,18,Yes,Yes
708,354,Car,29,Yes,No
709,355,Bus,53,No,Yes
710,355,Car,36,No,Yes
711,356,Car,33,Yes,No
712,356,Car,23,Yes,Yes
713,357,Bus,22,Yes,Yes
714,357,Truck,18,No,Yes
715,358,Truck,38,Yes,No
716,358,Auto,25,No,Yes
717,359,Auto,54,No,No
718,359,Bike,32,Yes,Yes
719,360,Bus,55,No,Yes
720,360,Auto,65,Yes,Yes
721,361,Bus,60,No,Yes
722,361,Auto,50,Yes,No
723,362,Bike,30,No,No
724,362,Bus,63,No,No
725,363,Auto,68,No,Yes
726,363,Auto,42,No,No
727,364,Bus,42,Yes,Yes
728,364,Truck,53,No,No
729,365,Truck,34,Yes,Yes
730,365,Bus,42,Yes,No
731,366,SUV,52,Yes,Yes
732,366,SUV,39,No,Yes
733,367,Car,69,No,No
734,367,Car,62,Yes,No
735,368,Truck,22,No,Yes
736,368,Bike,27,No,No
737,369,Auto,63,Yes,No
738,369,Bus,70,No,No
739,370,Bike,54,Yes,No
740,370,Bike,46,No,Yes
741,371,Bus,52,Yes,Yes
742,371,Auto,21,No,No
743,372,SUV,39,No,No
744,372,Truck,48,No,No
745,373,Truck,36,Yes,Yes
746,373,Truck,19,No,Yes
747,374,Truck,24,Yes,Yes
748,374,SUV,49,Yes,Yes
749,375,SUV,33,No,Yes
750,375,SUV,26,No,No
751,376,SUV,39,No,Yes
752,376,Truck,51,Yes,No
753,377,Car,29,Yes,No
754,377,Truck,35,No,No
755,378,Auto,54,Yes,Yes
756,378,Auto,53,Yes,Yes
757,379,Bus,62,Yes,No
758,379,Car,68,Yes,Yes
759,380,SUV,22,No,No
760,380,Bike,39,Yes,No
761,381,Truck,60,Yes,No
762,381,SUV,59,No,No
763,382,Bike,65,Yes,Yes
764,382,Car,42,Yes,Yes
765,383,Bus,53,No,Yes
766,383,Bus,26,Yes,No
767,384,Car,56,Yes,Yes
768,384,SUV,40,Yes,Yes
769,385,SUV,52,No,No
770,385,Auto,31,No,Yes
771,386,Auto,61,No,Yes
772,386,SUV,69,No,Yes
773,387,Bus,24,No,Yes
774,387,Truck,45,Yes,Yes
775,388,Car,65,No,No
776,388,Bike,21,Yes,No
777,389,Car,66,Yes,Yes
778,389,Auto,67,Yes,No
779,390,Car,55,No,No
780,390,Bike,25,Yes,Yes
781,391,SUV,35,No,Yes
782,391,Car,50,Yes,No
783,392,Bike,18,Yes,No
784,392,Car,57,Yes,No
785,393,Auto,23,Yes,Yes
786,393,Bike,69,No,Yes
787,394,Bike,43,No,Yes
788,394,SUV,56,No,Yes
789,395,Bus,62,Yes,Yes
790,395,Auto,25,No,No
791,396,Truck,52,No,Yes
792,396,Bus,40,Yes,Yes
793,397,SUV,69,No,Yes
794,397,Auto,19,Yes,No
795,398,Auto,20,Yes,No
796,398,Bus,32,No,Yes
797,399,Bus,42,No,No
798,399,Truck,69,Yes,Yes
799,400,SUV,43,No,Yes
800,400,Bus,52,Yes,No
801,401,Bus,57,No,No
802,401,Bike,43,Yes,Yes
803,402,Car,27,Yes,No
804,402,SUV,21,No,No
805,403,Car,48,No,Yes
806,403,Truck,70,Yes,Yes
807,404,Bike,29,No,No
808,404,SUV,28,No,No
809,405,Bike,50,Yes,No
810,405,Auto,18,No,Yes
811,406,Bike,27,Yes,Yes
812,406,Car,57,Yes,Yes
813,407,Auto,42,No,No
814,407,SUV,46,No,No
815,408,Truck,66,No,Yes
816,408,Bike,45,No,Yes
817,409,Bus,69,Yes,No
818,409,Auto,31,Yes,No
819,410,Auto,57,Yes,No
820,410,Auto,65,No,No
821,411,SUV,36,No,No
822,411,SUV,25,Yes,Yes
823,412,Bus,25,No,Yes
824,412,SUV,66,Yes,Yes
825,413,Bus,34,No,Yes
826,413,Car,39,No,No
827,414,Car,47,Yes,Yes
828,414,Car,41,No,Yes
829,415,SUV,19,No,Yes
830,415,SUV,59,No,No
831,416,SUV,35,Yes,Yes
832,416,SUV,64,No,Yes
833,417,Truck,40,Yes,No
834,417,Bike,40,No,Yes
835,418,Car,43,No,Yes
836,418,Auto,32,Yes,No
837,419,SUV,61,Yes,Yes
838,419,SUV,27,No,Yes
839,420,Truck,33,No,No
840,420,Car,51,Yes,No
841,421,Auto,38,No,No
842,421,Auto,61,Yes,No
843,422,Truck,31,Yes,No
844,422,Auto,70,No,Yes
845,423,SUV,28,Yes,No
846,423,Truck,21,No,Yes
847,424,Auto,66,No,No
848,424,Bus,45,Yes,Yes
849,425,Truck,57,No,Yes
850,425,Truck,41,No,Yes
851,426,Auto,18,No,Yes
852,426,Bus,38,Yes,Yes
853,427,Bike,44,No,Yes
854,427,Truck,67,Yes,Yes
855,428,Bus,63,Yes,No
856,428,Bus,43,No,No
857,429,SUV,60,Yes,Yes
858,429,Car,43,Yes,No
859,430,Car,64,No,No
860,430,Car,31,No,Yes
861,431,Car,27,Yes,Yes
862,431,Auto,40,No,Yes
863,432,SUV,67,No,No
864,432,SUV,35,No,No
865,433,Car,40,Yes,No
866,433,Bike,51,Yes,Yes
867,434,SUV,37,Yes,Yes
868,434,Truck,33,Yes,No
869,435,Bus,25,No,Yes
870,435,Bike,55,No,Yes
871,436,SUV,52,No,No
872,436,Bus,59,No,Yes
873,437,Bus,58,Yes,Yes
874,437,Car,47,No,Yes
875,438,Bus,42,No,Yes
876,438,Truck,40,Yes,No
877,439,Auto,28,Yes,No
